browse,buy
0.62,0.41
0.67,0.5
0.67,0.48
0.68,0.48
0.67,0.48
0.44,0.19
0.44,0.22
0.46,0.21
0.42,0.16
0.52,0.28
0.68,0.47
0.43,0.17
0.7,0.2
0.48,0.17
0.48,0.12
0.5,0.19
0.51,0.17
0.55,0.18
0.46,0.16
0.42,0.09
0.4,0.06
0.41,0.07
0.44,0.08
0.39,0.07
0.88,0.63
0.91,0.76
0.88,0.69
0.94,0.77
