_id,BIN,SumAREA,WMeanAREA,MaxAREA,MaxVIEWS,MaxSOLAR,WMeanVIEWS,WMeanSOLAR,WMeanCOMPACTNESS,MaxWIDTH,HEIGHTROOF,YEAR,NAME,BBL,LandUseString,ASPECT,SUBWAY800,SUBWAY400,SBIN
8930,1014787,5538.03,923,923,1.31,1.21,14.82,0.33,0.9,18.64,52.12,1910,,1007970083,MIXED,SIDEBLOCK,5,1,S1014787
8931,1014788,3745.84,936.46,936.46,0.92,0.75,25.38,0.34,0.81,16.6,38.46,1901,,1007980001,MIXED,CORNERBLOCK,5,3,S1014788
8932,1014789,5053.65,1010.73,1011.81,0.87,1.12,10.7,0.32,0.83,16.8,34.97,1901,,1007980002,MIXED,SIDEBLOCK,5,3,S1014789
8933,1014790,5473.44,1094.69,1095.23,1.05,1.31,15.37,0.54,0.85,18.64,56.376305,1950,,1007980003,MIXED,SIDEBLOCK,5,3,S1014790
8934,1014791,9811.29,1962.26,1975.18,0.48,0.74,9.4,0.17,0.82,23.49,42.82,1920,,1007980010,MIXED,SIDEBLOCK,5,2,S1014791
8935,1014792,23649.58,10346.69,15038.46,1.32,0.5,18.11,0.05,0.74,117.06,45.8,1920,,1007980011,INDUSTRIAL,SIDEBLOCK,5,2,S1014792
8936,1014793,17991.86,2998.71,3011.2,2.39,0.08,22.77,0.01,0.87,35.3,62.31,1931,,1007980014,OTHER,SIDEBLOCK,5,2,S1014793
8937,1014794,40143.97,4014.4,4014.93,5.88,1.82,59.24,0.41,0.94,44.78,114.65,1909,,1007980017,RESIDENTIAL,SIDEBLOCK,5,2,S1014794
8938,1014800,46047.96,3542.18,3552.09,8.21,4.63,67.84,0.65,0.92,40.58,143.25,1909,,1007980026,RESIDENTIAL,SIDEBLOCK,6,2,S1014800
8939,1014802,234416.21,33488,33497.26,2.78,4.2,57.93,1.35,0.91,178.61,82.39,1910,,1007980041,MIXED,ENDBLOCK,6,2,S1014802
8940,1014803,11415.12,1630.73,1630.73,3.66,6.67,55.35,1.33,0.92,27.89,74.15803,1910,,1007980049,MIXED,CORNERBLOCK,6,2,S1014803
8941,1014806,9450.7,2362.68,2373.44,0.46,0,12.95,0,0.81,26.28,47.150277,1910,,1007980060,INDUSTRIAL,SIDEBLOCK,6,2,S1014806
8942,1014807,8002.96,1600.81,1609.2,1.13,0.68,12.41,0.14,0.75,17.78,47.675384,1910,,1007980061,MIXED,SIDEBLOCK,6,2,S1014807
8943,1014808,8525.01,1705.11,1711.46,0.97,0.41,13.21,0.08,0.77,19.65,48.991377,1910,,1007980062,MIXED,SIDEBLOCK,6,2,S1014808
8944,1014810,91654.61,7050.35,7050.35,2.85,3.21,38.98,0.93,0.9,73.03,133.93,1989,,1007980066,RESIDENTIAL,SIDEBLOCK,5,2,S1014810
8945,1014811,116260.88,8943.19,8944.8,16.67,8.57,141.46,1.75,0.97,87.53,162.34,1910,,1007980071,RESIDENTIAL,SIDEBLOCK,5,3,S1014811
8946,1014812,13325.71,1903.7,1921.36,3.46,0.96,22.35,0.15,0.78,21.1,79.8,1920,,1007987504,MIXED,SIDEBLOCK,5,3,S1014812
8947,1014813,25456.62,3636.69,3638.2,1.8,2,23.12,0.32,0.92,39.24,89,1925,,1007987501,COMMERCIAL,SIDEBLOCK,6,2,S1014813
8948,1014940,12970.5,2594.1,2594.1,1.78,3.5,37.81,1.63,0.99,44.59,49.49,1950,,1007990001,MIXED,CORNERBLOCK,5,3,S1014940
8949,1014942,2534.9,844.97,844.97,0.42,0.46,10,0.23,0.93,19.26,37.14,1920,,1007990006,INDUSTRIAL,SIDEBLOCK,5,3,S1014942
8950,1014944,12491.51,2498.3,2502.61,1.09,1.18,20.31,0.56,0.75,22.97,56.52,1901,,1007990008,MIXED,SIDEBLOCK,5,3,S1014944
8951,1014945,18460.09,2637.16,2637.16,3.64,4.31,37.23,1.07,0.82,26.8,73.47,1931,,1007990009,INDUSTRIAL,SIDEBLOCK,5,3,S1014945
8952,1014946,12102.71,2420.59,2432.64,0.46,0.5,11.45,0.2,0.79,24.21,57.46,1925,,1007990010,COMMERCIAL,SIDEBLOCK,5,3,S1014946
8953,1014947,17006.96,3401.39,3401.39,0.26,0.26,7.38,0.06,0.63,44.98,57.58,1920,,1007990011,INDUSTRIAL,SIDEBLOCK,5,3,S1014947
8954,1014948,83538.63,6841.43,8492.72,8.29,8.87,68.71,1.75,0.99,85.1,153.13,1910,,1007990012,INDUSTRIAL,SIDEBLOCK,5,3,S1014948
8955,1014949,212091.89,17674.32,17685.09,6.63,2.84,80.71,1.25,0.8,97.38,112.94,1980,,1007990021,OTHER,SIDEBLOCK,5,2,S1014949
8956,1014950,13169.63,2194.97,2195.84,0.63,2.79,7.21,0.64,0.69,23.69,58.33,1925,,1007990024,COMMERCIAL,SIDEBLOCK,6,2,S1014950
8957,1014951,42517.4,8503.48,8503.48,0.98,1.27,26.22,0.61,0.92,61.48,63.45,1920,,1007990025,OTHER,MIDBLOCK,5,2,S1014951
8958,1014952,102278.58,9298.07,9300.01,4.71,3.15,77.32,1.43,0.75,48.62,143.39,1901,,1007990028,INDUSTRIAL,MIDBLOCK,5,2,S1014952
8959,1014953,26995.86,4499.31,4499.31,0.64,0.9,17.76,0.52,0.96,49.54,67.04,1920,,1007990030,MIXED,SIDEBLOCK,6,2,S1014953
8960,1014954,138057.78,19722.59,19740.99,2.44,4.36,59.14,1.48,0.87,111.75,60.533386,1958,,1007990035,RESIDENTIAL,ENDBLOCK,6,2,S1014954
8961,1014955,7992.2,1598.44,1598.44,1.73,0.63,23.26,0.45,0.9,25.95,61.649249,1920,,1007990040,MIXED,SIDEBLOCK,6,2,S1014955
8962,1014956,6754.35,1350.87,1350.87,1.79,0.76,26.09,0.53,0.92,24.21,59.058561,1894,,1007990041,COMMERCIAL,SIDEBLOCK,6,2,S1014956
8963,1014957,8559.99,1712,1714.15,5.06,1,53.83,0.58,0.9,26.35,58.55,1920,,1007990042,COMMERCIAL,CORNERBLOCK,6,2,S1014957
8964,1014958,50412.73,2653.3,2653.3,25.12,4.86,148.22,2.52,1,49.54,192.65,2001,,1007990046,COMMERCIAL,SIDEBLOCK,6,2,S1014958
8965,1014959,11625.01,1937.5,1937.5,1.22,1.26,19.31,0.3,1,41.83,71.71,1920,,1007990051,OTHER,SIDEBLOCK,5,2,S1014959
8966,1014960,8960.95,1792.19,1792.19,0.52,0.74,13.56,0.22,0.95,34.48,65.05,1920,,1007990053,OTHER,SIDEBLOCK,5,2,S1014960
8967,1014961,42294.05,6041.99,6060.08,2.09,3.91,30.5,0.92,0.95,63.88,79.53,1920,,1007997501,MIXED,SIDEBLOCK,5,2,S1014961
8968,1014962,30141.61,6028.32,6030.47,0.77,0.03,21.16,0.01,0.9,68.44,62.71,1898,,1007990057,RESIDENTIAL,SIDEBLOCK,4,2,S1014962
8969,1014963,23605.23,3934.21,3934.21,1.07,2.21,18.69,0.37,0.95,46.23,63.87,1898,,1007990060,RESIDENTIAL,SIDEBLOCK,4,2,S1014963
8970,1014964,7540.11,1885.08,1894.45,0.27,0,7.42,0,0.76,20.01,40.74,1920,,1007990063,INDUSTRIAL,SIDEBLOCK,4,3,S1014964
8971,1014965,65207.71,5015.98,5015.98,9.59,8.9,59.98,1.75,0.97,55.97,154.15,1920,,1007990064,INDUSTRIAL,SIDEBLOCK,4,3,S1014965
8972,1014966,57091.73,4391.67,4391.67,10.66,9,74.22,1.54,0.96,49.54,155.06,1910,,1007990067,INDUSTRIAL,SIDEBLOCK,4,3,S1014966
8973,1014970,10823.1,2705.83,2707.12,0.78,0.64,18.12,0.46,0.87,46.1,42.454333,1946,,1008000005,OTHER,SIDEBLOCK,4,2,S1014970
8974,1014972,6221.53,1555.38,1555.38,0.38,0.53,10.22,0.38,0.86,22.6,46.27,1910,,1008000009,INDUSTRIAL,SIDEBLOCK,4,3,S1014972
8975,1014973,46779.91,6682.87,6684.38,2.27,3.88,30.31,1.03,0.98,81.5,72.885623,1904,,1008000010,RESIDENTIAL,SIDEBLOCK,4,3,S1014973
8976,1014974,17093.07,2136.63,2136.63,1.63,3.48,16.46,0.84,0.82,24.21,75.78,1910,,1008000014,INDUSTRIAL,SIDEBLOCK,4,3,S1014974
8977,1014975,11382.82,2276.56,2276.56,0.33,0.54,9.11,0.29,0.83,26.08,44.58,1915,,1008000015,INDUSTRIAL,SIDEBLOCK,4,3,S1014975
8978,1014976,22501.93,2500.45,2518.75,2.11,4.88,25.43,1.66,0.83,30.54,86.94,1901,,1008007503,MIXED,SIDEBLOCK,4,3,S1014976
8979,1014977,17060.78,2437.27,2442.11,1.76,5.48,19.18,1.18,0.77,25.75,84.03,1901,,1008000020,MIXED,SIDEBLOCK,4,2,S1014977
8980,1014978,19940.12,2492.6,2507.99,1.42,3.37,13.9,0.63,0.75,24.57,74.768149,1910,,1008000021,RESIDENTIAL,SIDEBLOCK,4,2,S1014978
8981,1014979,19358.87,2419.83,2427.26,1.51,4.71,14.74,0.77,0.73,24.05,75.540704,1901,,1008000022,RESIDENTIAL,SIDEBLOCK,5,2,S1014979
8982,1014980,38093.44,4761.73,4763.03,1.31,3.09,18.53,0.71,0.87,48.82,77.05,1904,,1008000023,COMMERCIAL,SIDEBLOCK,5,2,S1014980
8983,1014981,123278.95,9483,9483,17.73,3.93,116.74,2.16,0.96,95.28,167.19,1913,,1008000025,COMMERCIAL,CORNERBLOCK,5,2,S1014981
8984,1014982,60677.4,3324.32,5080.56,43.99,2.53,336.96,1.16,0.82,49.18,79.81,1902,,1008000033,INDUSTRIAL,CORNERBLOCK,6,2,S1014982
8985,1014985,34089.27,2840.81,2841.67,3.79,1.04,62.05,0.41,0.95,38.71,156.95,1913,,1008007502,MIXED,SIDEBLOCK,6,1,S1014985
8986,1014987,11641.8,1940.41,1964.41,1.2,0.42,13.58,0.07,0.77,23.85,59.093754,1901,,1008000055,RESIDENTIAL,SIDEBLOCK,4,2,S1014987
8987,1014988,12369.01,2061.5,2073.34,1.02,0.21,13.42,0.03,0.78,25.56,57.093754,1901,,1008000056,RESIDENTIAL,SIDEBLOCK,4,2,S1014988
8988,1014989,46239.02,3853.26,3853.48,3.58,3.31,46.42,0.97,0.98,49.9,151.69,1910,,1008000057,INDUSTRIAL,SIDEBLOCK,4,2,S1014989
8989,1014990,27313.4,3901.91,3901.91,0.56,0.56,15.61,0.08,0.98,51.02,77.23,1920,,1008000059,INDUSTRIAL,SIDEBLOCK,4,2,S1014990
8990,1014991,82540.28,6878.35,6880.82,2.85,3.38,38.66,1.35,1,78.05,151.07,1911,,1008000061,COMMERCIAL,SIDEBLOCK,4,2,S1014991
8991,1014992,70525.07,5425.01,5425.01,14.53,7.78,61.31,1.35,0.96,55.77,152.09,1911,,1008000065,COMMERCIAL,SIDEBLOCK,4,3,S1014992
8992,1014993,72763.96,5597.23,5597.23,4.09,4.28,41.37,1.06,0.96,55.58,147.793299,1911,,1008000068,INDUSTRIAL,SIDEBLOCK,4,2,S1014993
8993,1014994,65850.85,3135.74,3153.82,20.24,4.5,100.7,1.69,0.9,46.59,189.39,2001,,1008000071,COMMERCIAL,SIDEBLOCK,4,2,S1014994
8994,1014995,42969.49,3305.38,3315.28,4.99,4.81,42.39,0.99,0.92,37.99,151.12,1918,,1008000074,INDUSTRIAL,SIDEBLOCK,4,2,S1014995
8995,1014996,1453.13,1453.13,1453.13,0.29,0,8.11,0,0.83,20.54,48.270252,1913,,1008000076,MIXED,SIDEBLOCK,4,2,S1014996
8996,1014997,8584.21,1716.84,1716.84,1.57,1.47,30.31,0.57,0.93,27.99,44.766733,1920,,1008000077,MIXED,CORNERBLOCK,4,2,S1014997
8997,1014998,6560.6,1312.12,1313.2,0.75,1.12,11.57,0.52,0.88,22.28,43.778102,1920,,1008000078,COMMERCIAL,SIDEBLOCK,4,2,S1014998
8998,1014999,5446.53,1361.63,1361.63,0.36,0.33,9.62,0.33,0.89,22.21,44.778102,1920,,1008000079,MIXED,SIDEBLOCK,4,2,S1014999
8999,1015000,499698.23,19588.9,21495.51,68.9,4.58,551.51,2.2,0.95,109.91,343.9,1928,,1008010001,COMMERCIAL,ENDBLOCK,4,2,S1015000
9000,1015001,112902.55,6641.33,6641.33,17.95,3.53,110.22,0.99,1,78.18,150.032723,1911,,1008010008,COMMERCIAL,SIDEBLOCK,4,2,S1015001
9001,1015002,69561.7,5350.95,5360.42,7.39,4.68,38.07,0.53,0.98,59.45,150.52,1909,,1008010011,INDUSTRIAL,SIDEBLOCK,4,2,S1015002
9002,1015003,36231.29,3019.27,3019.27,0.56,0.92,12.65,0.16,0.9,34.15,151.03,1911,,1008010014,INDUSTRIAL,SIDEBLOCK,4,3,S1015003
9003,1015005,36328.16,4036.46,4036.46,0.68,0.44,15.92,0.16,0.97,49.18,102.77,1921,,1008010019,INDUSTRIAL,SIDEBLOCK,4,2,S1015005
9004,1015007,114643.61,8818.76,8837.16,8.71,3.34,59.78,1,0.88,89.37,164.35,1906,,1008010024,INDUSTRIAL,SIDEBLOCK,4,1,S1015007
9005,1015008,5758.69,2879.34,2884.73,0.54,0,15.12,0,0.78,26.44,26.25,1906,,1008010028,COMMERCIAL,SIDEBLOCK,4,1,S1015008
9006,1015009,10128.83,2025.77,2034.38,0.67,1.22,15.54,0.5,0.69,19.65,46.8,1906,,1008010029,INDUSTRIAL,SIDEBLOCK,4,1,S1015009
